EPCI;EPCI_EPT;EPCI_EPTinc;EPCIlibFull;EPCIlibFullNCC;EPCIlibShort;EPCIlibShortNCC;TYPE_EPCI;TYPE_EPCIlib;METRoff;DENSEPCI;DENSEPCIlib;REG_dom;DEP_dom;DEPshort_dom;regdep
246800726;246800726;0;Communauté d'agglomération Colmar Agglomération;COMMUNAUTE D AGGLOMERATION COLMAR AGGLOMERATION;CA Colmar Agglomération;CA COLMAR AGGLOMERATION;CA;Communauté d'agglomération;0;1;Urbain dense;44;68;68-HRh;GES/68-HRh
246900575;246900575;0;Communauté de communes de l'Est Lyonnais (CCEL);COMMUNAUTE DE COMMUNES DE L EST LYONNAIS (CCEL);CC de l'Est Lyonnais (CCEL);CC DE L'EST LYONNAIS (CCEL);CC;Communauté de communes;0;2;Urbain intermédiaire;84;69;69-Rhô;ARA/69-Rhô
246900625;246900625;0;Communauté de communes du Pays de l'Arbresle (CCPA);COMMUNAUTE DE COMMUNES DU PAYS DE L ARBRESLE (CCPA);CC du Pays de l'Arbresle (CCPA);CC DU PAYS DE L'ARBRESLE (CCPA);CC;Communauté de communes;0;2;Urbain intermédiaire;84;69;69-Rhô;ARA/69-Rhô
246900724;246900724;0;Communauté de communes des Vallons du Lyonnais (CCVL);COMMUNAUTE DE COMMUNES DES VALLONS DU LYONNAIS (CCVL);CC des Vallons du Lyonnais (CCVL);CC DES VALLONS DU LYONNAIS (CCVL);CC;Communauté de communes;0;2;Urbain intermédiaire;84;69;69-Rhô;ARA/69-Rhô
246900740;246900740;0;Communauté de communes du Pays Mornantais (COPAMO);COMMUNAUTE DE COMMUNES DU PAYS MORNANTAIS (COPAMO);CC du Pays Mornantais (COPAMO);CC DU PAYS MORNANTAIS (COPAMO);CC;Communauté de communes;0;3;Rural;84;69;69-Rhô;ARA/69-Rhô
246900757;246900757;0;Communauté de communes de la Vallée du Garon (CCVG);COMMUNAUTE DE COMMUNES DE LA VALLEE DU GARON (CCVG);CC de la Vallée du Garon (CCVG);CC DE LA VALLEE DU GARON (CCVG);CC;Communauté de communes;0;2;Urbain intermédiaire;84;69;69-Rhô;ARA/69-Rhô
246900765;246900765;0;Communauté de communes du Pays de l'Ozon;COMMUNAUTE DE COMMUNES DU PAYS DE L OZON;CC du Pays de l'Ozon;CC DU PAYS DE L'OZON;CC;Communauté de communes;0;2;Urbain intermédiaire;84;69;69-Rhô;ARA/69-Rhô
247000011;247000011;0;Communauté d'agglomération de Vesoul;COMMUNAUTE D AGGLOMERATION DE VESOUL;CA de Vesoul;CA DE VESOUL;CA;Communauté d'agglomération;0;2;Urbain intermédiaire;27;70;70-HSa;BFC/70-HSa
247000367;247000367;0;Communauté de communes des Combes;COMMUNAUTE DE COMMUNES DES COMBES;CC des Combes;CC DES COMBES;CC;Communauté de communes;0;3;Rural;27;70;70-HSa;BFC/70-HSa
247000623;247000623;0;Communauté de communes des Quatre Rivières;COMMUNAUTE DE COMMUNES DES QUATRE RIVIERES;CC des Quatre Rivières;CC DES QUATRE RIVIERES;CC;Communauté de communes;0;3;Rural;27;70;70-HSa;BFC/70-HSa
247000664;247000664;0;Communauté de communes du Pays de Lure;COMMUNAUTE DE COMMUNES DU PAYS DE LURE;CC du Pays de Lure;CC DU PAYS DE LURE;CC;Communauté de communes;0;3;Rural;27;70;70-HSa;BFC/70-HSa
247000698;247000698;0;Communauté de communes des Monts de Gy;COMMUNAUTE DE COMMUNES DES MONTS DE GY;CC des Monts de Gy;CC DES MONTS DE GY;CC;Communauté de communes;0;3;Rural;27;70;70-HSa;BFC/70-HSa
247000706;247000706;0;Communauté de communes du Pays Riolais;COMMUNAUTE DE COMMUNES DU PAYS RIOLAIS;CC du Pays Riolais;CC DU PAYS RIOLAIS;CC;Communauté de communes;0;3;Rural;27;70;70-HSa;BFC/70-HSa
