"AAV2020";"AAV2020lib";"AAV2020libNCC";"TAAV2017";"TAAV2017lib";"TAAV2017libNCC";"TDAAV2017";"TDAAV2017lib";"TDAAV2017libNCC";"NB_COM";"dens3";"REG_dom";"DEP_dom";"DEPshort_dom";"regdep"
"121";"Sarreguemines (partie française)";"SARREGUEMINES (PARTIE FRANCAISE)";2;"Aire de 50 000 à moins de 200 000 habitants";"AIRE DE 50 000 A MOINS DE 200 000 HABITANTS";22;"Aire de 75 000 à moins de 100 000 habitants";"AIRE DE 75 000 A MOINS DE 100 000 HABITANTS";48;3;"44";"57";"57-Mos";"GES/57-Mos"
"122";"Moulins";"MOULINS";2;"Aire de 50 000 à moins de 200 000 habitants";"AIRE DE 50 000 A MOINS DE 200 000 HABITANTS";22;"Aire de 75 000 à moins de 100 000 habitants";"AIRE DE 75 000 A MOINS DE 100 000 HABITANTS";64;3;"84";"03";"03-All";"ARA/03-All"
"123";"Aurillac";"AURILLAC";2;"Aire de 50 000 à moins de 200 000 habitants";"AIRE DE 50 000 A MOINS DE 200 000 HABITANTS";22;"Aire de 75 000 à moins de 100 000 habitants";"AIRE DE 75 000 A MOINS DE 100 000 HABITANTS";85;3;"84";"15";"15-Can";"ARA/15-Can"
"124";"Saint-Lô";"SAINT LO";2;"Aire de 50 000 à moins de 200 000 habitants";"AIRE DE 50 000 A MOINS DE 200 000 HABITANTS";22;"Aire de 75 000 à moins de 100 000 habitants";"AIRE DE 75 000 A MOINS DE 100 000 HABITANTS";63;3;"28";"50";"50-Man";"NOR/50-Man"
"125";"Béthune";"BETHUNE";2;"Aire de 50 000 à moins de 200 000 habitants";"AIRE DE 50 000 A MOINS DE 200 000 HABITANTS";22;"Aire de 75 000 à moins de 100 000 habitants";"AIRE DE 75 000 A MOINS DE 100 000 HABITANTS";23;2;"32";"62";"62-PdC";"HDF/62-PdC"
"126";"Draguignan";"DRAGUIGNAN";2;"Aire de 50 000 à moins de 200 000 habitants";"AIRE DE 50 000 A MOINS DE 200 000 HABITANTS";22;"Aire de 75 000 à moins de 100 000 habitants";"AIRE DE 75 000 A MOINS DE 100 000 HABITANTS";11;2;"93";"83";"83-Var";"PACA/83-Var"
"127";"Haguenau";"HAGUENAU";2;"Aire de 50 000 à moins de 200 000 habitants";"AIRE DE 50 000 A MOINS DE 200 000 HABITANTS";22;"Aire de 75 000 à moins de 100 000 habitants";"AIRE DE 75 000 A MOINS DE 100 000 HABITANTS";34;2;"44";"67";"67-BRh";"GES/67-BRh"
"128";"Soissons";"SOISSONS";2;"Aire de 50 000 à moins de 200 000 habitants";"AIRE DE 50 000 A MOINS DE 200 000 HABITANTS";21;"Aire de 50 000 à moins de 75 000 habitants";"AIRE DE 50 000 A MOINS DE 75 000 HABITANTS";92;2;"32";"02";"02-Ais";"HDF/02-Ais"
"129";"Bergerac";"BERGERAC";2;"Aire de 50 000 à moins de 200 000 habitants";"AIRE DE 50 000 A MOINS DE 200 000 HABITANTS";21;"Aire de 50 000 à moins de 75 000 habitants";"AIRE DE 50 000 A MOINS DE 75 000 HABITANTS";73;3;"75";"24";"24-Dor";"NAQ/24-Dor"
"130";"Montargis";"MONTARGIS";2;"Aire de 50 000 à moins de 200 000 habitants";"AIRE DE 50 000 A MOINS DE 200 000 HABITANTS";21;"Aire de 50 000 à moins de 75 000 habitants";"AIRE DE 50 000 A MOINS DE 75 000 HABITANTS";33;2;"24";"45";"45-Lot";"CVL/45-Lot"
"131";"Royan";"ROYAN";2;"Aire de 50 000 à moins de 200 000 habitants";"AIRE DE 50 000 A MOINS DE 200 000 HABITANTS";21;"Aire de 50 000 à moins de 75 000 habitants";"AIRE DE 50 000 A MOINS DE 75 000 HABITANTS";26;2;"75";"17";"17-ChM";"NAQ/17-ChM"
"132";"Lons-le-Saunier";"LONS LE SAUNIER";2;"Aire de 50 000 à moins de 200 000 habitants";"AIRE DE 50 000 A MOINS DE 200 000 HABITANTS";21;"Aire de 50 000 à moins de 75 000 habitants";"AIRE DE 50 000 A MOINS DE 75 000 HABITANTS";138;3;"27";"39";"39-Jur";"BFC/39-Jur"
"133";"Saumur";"SAUMUR";2;"Aire de 50 000 à moins de 200 000 habitants";"AIRE DE 50 000 A MOINS DE 200 000 HABITANTS";21;"Aire de 50 000 à moins de 75 000 habitants";"AIRE DE 50 000 A MOINS DE 75 000 HABITANTS";31;3;"52";"49";"49-MeL";"PDL/49-MeL"
"134";"Dole";"DOLE";2;"Aire de 50 000 à moins de 200 000 habitants";"AIRE DE 50 000 A MOINS DE 200 000 HABITANTS";21;"Aire de 50 000 à moins de 75 000 habitants";"AIRE DE 50 000 A MOINS DE 75 000 HABITANTS";87;3;"27";"39";"39-Jur";"BFC/39-Jur"
"135";"Salon-de-Provence";"SALON DE PROVENCE";2;"Aire de 50 000 à moins de 200 000 habitants";"AIRE DE 50 000 A MOINS DE 200 000 HABITANTS";21;"Aire de 50 000 à moins de 75 000 habitants";"AIRE DE 50 000 A MOINS DE 75 000 HABITANTS";6;2;"93";"13";"13-BdR";"PACA/13-BdR"
"136";"Laon";"LAON";2;"Aire de 50 000 à moins de 200 000 habitants";"AIRE DE 50 000 A MOINS DE 200 000 HABITANTS";21;"Aire de 50 000 à moins de 75 000 habitants";"AIRE DE 50 000 A MOINS DE 75 000 HABITANTS";105;3;"32";"02";"02-Ais";"HDF/02-Ais"
"137";"Manosque";"MANOSQUE";2;"Aire de 50 000 à moins de 200 000 habitants";"AIRE DE 50 000 A MOINS DE 200 000 HABITANTS";21;"Aire de 50 000 à moins de 75 000 habitants";"AIRE DE 50 000 A MOINS DE 75 000 HABITANTS";30;3;"93";"04";"04-AHP";"PACA/04-AHP"
"138";"Vesoul";"VESOUL";2;"Aire de 50 000 à moins de 200 000 habitants";"AIRE DE 50 000 A MOINS DE 200 000 HABITANTS";21;"Aire de 50 000 à moins de 75 000 habitants";"AIRE DE 50 000 A MOINS DE 75 000 HABITANTS";158;3;"27";"70";"70-HSa";"BFC/70-HSa"
"139";"Les Sables-d'Olonne";"LES SABLES D OLONNE";2;"Aire de 50 000 à moins de 200 000 habitants";"AIRE DE 50 000 A MOINS DE 200 000 HABITANTS";21;"Aire de 50 000 à moins de 75 000 habitants";"AIRE DE 50 000 A MOINS DE 75 000 HABITANTS";9;2;"52";"85";"85-Ven";"PDL/85-Ven"
"140";"Rochefort";"ROCHEFORT";2;"Aire de 50 000 à moins de 200 000 habitants";"AIRE DE 50 000 A MOINS DE 200 000 HABITANTS";21;"Aire de 50 000 à moins de 75 000 habitants";"AIRE DE 50 000 A MOINS DE 75 000 HABITANTS";33;3;"75";"17";"17-ChM";"NAQ/17-ChM"
"141";"Romans-sur-Isère";"ROMANS SUR ISERE";2;"Aire de 50 000 à moins de 200 000 habitants";"AIRE DE 50 000 A MOINS DE 200 000 HABITANTS";21;"Aire de 50 000 à moins de 75 000 habitants";"AIRE DE 50 000 A MOINS DE 75 000 HABITANTS";30;2;"84";"26";"26-Drô";"ARA/26-Drô"
"142";"Saint-Dié-des-Vosges";"SAINT DIE DES VOSGES";2;"Aire de 50 000 à moins de 200 000 habitants";"AIRE DE 50 000 A MOINS DE 200 000 HABITANTS";21;"Aire de 50 000 à moins de 75 000 habitants";"AIRE DE 50 000 A MOINS DE 75 000 HABITANTS";47;3;"44";"88";"88-Vos";"GES/88-Vos"
"143";"Aubenas";"AUBENAS";2;"Aire de 50 000 à moins de 200 000 habitants";"AIRE DE 50 000 A MOINS DE 200 000 HABITANTS";21;"Aire de 50 000 à moins de 75 000 habitants";"AIRE DE 50 000 A MOINS DE 75 000 HABITANTS";68;3;"84";"07";"07-Ard";"ARA/07-Ard"
"144";"Louviers";"LOUVIERS";2;"Aire de 50 000 à moins de 200 000 habitants";"AIRE DE 50 000 A MOINS DE 200 000 HABITANTS";21;"Aire de 50 000 à moins de 75 000 habitants";"AIRE DE 50 000 A MOINS DE 75 000 HABITANTS";44;2;"28";"27";"27-Eur";"NOR/27-Eur"
"145";"Auch";"AUCH";2;"Aire de 50 000 à moins de 200 000 habitants";"AIRE DE 50 000 A MOINS DE 200 000 HABITANTS";21;"Aire de 50 000 à moins de 75 000 habitants";"AIRE DE 50 000 A MOINS DE 75 000 HABITANTS";112;3;"76";"32";"32-Ger";"OCC/32-Ger"
"146";"Saint-Dizier";"SAINT DIZIER";2;"Aire de 50 000 à moins de 200 000 habitants";"AIRE DE 50 000 A MOINS DE 200 000 HABITANTS";21;"Aire de 50 000 à moins de 75 000 habitants";"AIRE DE 50 000 A MOINS DE 75 000 HABITANTS";72;3;"44";"52";"52-HMa";"GES/52-HMa"
"147";"Roussillon";"ROUSSILLON";2;"Aire de 50 000 à moins de 200 000 habitants";"AIRE DE 50 000 A MOINS DE 200 000 HABITANTS";21;"Aire de 50 000 à moins de 75 000 habitants";"AIRE DE 50 000 A MOINS DE 75 000 HABITANTS";27;2;"84";"38";"38-Isè";"ARA/38-Isè"
"148";"Carpentras";"CARPENTRAS";2;"Aire de 50 000 à moins de 200 000 habitants";"AIRE DE 50 000 A MOINS DE 200 000 HABITANTS";21;"Aire de 50 000 à moins de 75 000 habitants";"AIRE DE 50 000 A MOINS DE 75 000 HABITANTS";21;2;"93";"84";"84-Vau";"PACA/84-Vau"
"149";"Morlaix";"MORLAIX";2;"Aire de 50 000 à moins de 200 000 habitants";"AIRE DE 50 000 A MOINS DE 200 000 HABITANTS";21;"Aire de 50 000 à moins de 75 000 habitants";"AIRE DE 50 000 A MOINS DE 75 000 HABITANTS";24;3;"53";"29";"29-Fin";"BRE/29-Fin"
"150";"Arles";"ARLES";2;"Aire de 50 000 à moins de 200 000 habitants";"AIRE DE 50 000 A MOINS DE 200 000 HABITANTS";21;"Aire de 50 000 à moins de 75 000 habitants";"AIRE DE 50 000 A MOINS DE 75 000 HABITANTS";4;2;"93";"13";"13-BdR";"PACA/13-BdR"
"151";"Thonon-les-Bains";"THONON LES BAINS";2;"Aire de 50 000 à moins de 200 000 habitants";"AIRE DE 50 000 A MOINS DE 200 000 HABITANTS";21;"Aire de 50 000 à moins de 75 000 habitants";"AIRE DE 50 000 A MOINS DE 75 000 HABITANTS";18;2;"84";"74";"74-HSv";"ARA/74-HSv"
"152";"Cognac";"COGNAC";2;"Aire de 50 000 à moins de 200 000 habitants";"AIRE DE 50 000 A MOINS DE 200 000 HABITANTS";21;"Aire de 50 000 à moins de 75 000 habitants";"AIRE DE 50 000 A MOINS DE 75 000 HABITANTS";44;3;"75";"16";"16-Cha";"NAQ/16-Cha"
"153";"Cahors";"CAHORS";2;"Aire de 50 000 à moins de 200 000 habitants";"AIRE DE 50 000 A MOINS DE 200 000 HABITANTS";21;"Aire de 50 000 à moins de 75 000 habitants";"AIRE DE 50 000 A MOINS DE 75 000 HABITANTS";77;3;"76";"46";"46-Lot";"OCC/46-Lot"
"154";"Villeneuve-sur-Lot";"VILLENEUVE SUR LOT";2;"Aire de 50 000 à moins de 200 000 habitants";"AIRE DE 50 000 A MOINS DE 200 000 HABITANTS";21;"Aire de 50 000 à moins de 75 000 habitants";"AIRE DE 50 000 A MOINS DE 75 000 HABITANTS";34;3;"75";"47";"47-LeG";"NAQ/47-LeG"
