"AAV2020";"AAV2020lib";"AAV2020libNCC";"TAAV2017";"TAAV2017lib";"TAAV2017libNCC";"TDAAV2017";"TDAAV2017lib";"TDAAV2017libNCC";"NB_COM";"dens3";"REG_dom";"DEP_dom";"DEPshort_dom";"regdep"
"034";"Le Mans";"LE MANS";3;"Aire de 200 000 à moins de 700 000 habitants";"AIRE DE 200 000 A MOINS DE 700 000 HABITANTS";32;"Aire de 300 000 à moins de 400 000 habitants";"AIRE DE 300 000 A MOINS DE 400 000 HABITANTS";142;2;"52";"72";"72-Sar";"PDL/72-Sar"
"035";"Amiens";"AMIENS";3;"Aire de 200 000 à moins de 700 000 habitants";"AIRE DE 200 000 A MOINS DE 700 000 HABITANTS";32;"Aire de 300 000 à moins de 400 000 habitants";"AIRE DE 300 000 A MOINS DE 400 000 HABITANTS";368;2;"32";"80";"80-Som";"HDF/80-Som"
"036";"Reims";"REIMS";3;"Aire de 200 000 à moins de 700 000 habitants";"AIRE DE 200 000 A MOINS DE 700 000 HABITANTS";32;"Aire de 300 000 à moins de 400 000 habitants";"AIRE DE 300 000 A MOINS DE 400 000 HABITANTS";294;1;"44";"51";"51-Mar";"GES/51-Mar"
"037";"Nîmes";"NIMES";3;"Aire de 200 000 à moins de 700 000 habitants";"AIRE DE 200 000 A MOINS DE 700 000 HABITANTS";32;"Aire de 300 000 à moins de 400 000 habitants";"AIRE DE 300 000 A MOINS DE 400 000 HABITANTS";92;2;"76";"30";"30-Gar";"OCC/30-Gar"
"038";"Valenciennes (partie française)";"VALENCIENNES (PARTIE FRANCAISE)";3;"Aire de 200 000 à moins de 700 000 habitants";"AIRE DE 200 000 A MOINS DE 700 000 HABITANTS";32;"Aire de 300 000 à moins de 400 000 habitants";"AIRE DE 300 000 A MOINS DE 400 000 HABITANTS";102;2;"32";"59";"59-Nor";"HDF/59-Nor"
"039";"Le Havre";"LE HAVRE";3;"Aire de 200 000 à moins de 700 000 habitants";"AIRE DE 200 000 A MOINS DE 700 000 HABITANTS";32;"Aire de 300 000 à moins de 400 000 habitants";"AIRE DE 300 000 A MOINS DE 400 000 HABITANTS";116;1;"28";"76";"76-SMa";"NOR/76-SMa"
"040";"Avignon";"AVIGNON";3;"Aire de 200 000 à moins de 700 000 habitants";"AIRE DE 200 000 A MOINS DE 700 000 HABITANTS";32;"Aire de 300 000 à moins de 400 000 habitants";"AIRE DE 300 000 A MOINS DE 400 000 HABITANTS";48;2;"76";"30";"30-Gar";"OCC/30-Gar"
"041";"Limoges";"LIMOGES";3;"Aire de 200 000 à moins de 700 000 habitants";"AIRE DE 200 000 A MOINS DE 700 000 HABITANTS";32;"Aire de 300 000 à moins de 400 000 habitants";"AIRE DE 300 000 A MOINS DE 400 000 HABITANTS";127;2;"75";"87";"87-HVi";"NAQ/87-HVi"
"042";"Lens - Liévin";"LENS LIEVIN";3;"Aire de 200 000 à moins de 700 000 habitants";"AIRE DE 200 000 A MOINS DE 700 000 HABITANTS";32;"Aire de 300 000 à moins de 400 000 habitants";"AIRE DE 300 000 A MOINS DE 400 000 HABITANTS";50;1;"32";"62";"62-PdC";"HDF/62-PdC"
"043";"Annecy";"ANNECY";3;"Aire de 200 000 à moins de 700 000 habitants";"AIRE DE 200 000 A MOINS DE 700 000 HABITANTS";31;"Aire de 200 000 à moins de 300 000 habitants";"AIRE DE 200 000 A MOINS DE 300 000 HABITANTS";79;2;"84";"74";"74-HSv";"ARA/74-HSv"
"044";"Pau";"PAU";3;"Aire de 200 000 à moins de 700 000 habitants";"AIRE DE 200 000 A MOINS DE 700 000 HABITANTS";31;"Aire de 200 000 à moins de 300 000 habitants";"AIRE DE 200 000 A MOINS DE 300 000 HABITANTS";227;2;"75";"64";"64-PyA";"NAQ/64-PyA"
"045";"Besançon";"BESANCON";3;"Aire de 200 000 à moins de 700 000 habitants";"AIRE DE 200 000 A MOINS DE 700 000 HABITANTS";31;"Aire de 200 000 à moins de 300 000 habitants";"AIRE DE 200 000 A MOINS DE 300 000 HABITANTS";308;2;"27";"25";"25-Dou";"BFC/25-Dou"
"046";"Poitiers";"POITIERS";3;"Aire de 200 000 à moins de 700 000 habitants";"AIRE DE 200 000 A MOINS DE 700 000 HABITANTS";31;"Aire de 200 000 à moins de 300 000 habitants";"AIRE DE 200 000 A MOINS DE 300 000 HABITANTS";97;3;"75";"86";"86-Vie";"NAQ/86-Vie"
"047";"Bayonne (partie française)";"BAYONNE (PARTIE FRANCAISE)";3;"Aire de 200 000 à moins de 700 000 habitants";"AIRE DE 200 000 A MOINS DE 700 000 HABITANTS";31;"Aire de 200 000 à moins de 300 000 habitants";"AIRE DE 200 000 A MOINS DE 300 000 HABITANTS";56;2;"75";"64";"64-PyA";"NAQ/64-PyA"
"048";"Dunkerque";"DUNKERQUE";3;"Aire de 200 000 à moins de 700 000 habitants";"AIRE DE 200 000 A MOINS DE 700 000 HABITANTS";31;"Aire de 200 000 à moins de 300 000 habitants";"AIRE DE 200 000 A MOINS DE 300 000 HABITANTS";66;2;"32";"59";"59-Nor";"HDF/59-Nor"
"049";"Valence";"VALENCE";3;"Aire de 200 000 à moins de 700 000 habitants";"AIRE DE 200 000 A MOINS DE 700 000 HABITANTS";31;"Aire de 200 000 à moins de 300 000 habitants";"AIRE DE 200 000 A MOINS DE 300 000 HABITANTS";71;2;"84";"26";"26-Drô";"ARA/26-Drô"
"050";"Chambéry";"CHAMBERY";3;"Aire de 200 000 à moins de 700 000 habitants";"AIRE DE 200 000 A MOINS DE 700 000 HABITANTS";31;"Aire de 200 000 à moins de 300 000 habitants";"AIRE DE 200 000 A MOINS DE 300 000 HABITANTS";115;2;"84";"73";"73-Sav";"ARA/73-Sav"
"051";"La Rochelle";"LA ROCHELLE";3;"Aire de 200 000 à moins de 700 000 habitants";"AIRE DE 200 000 A MOINS DE 700 000 HABITANTS";31;"Aire de 200 000 à moins de 300 000 habitants";"AIRE DE 200 000 A MOINS DE 300 000 HABITANTS";72;2;"75";"17";"17-ChM";"NAQ/17-ChM"
"052";"Quimper";"QUIMPER";3;"Aire de 200 000 à moins de 700 000 habitants";"AIRE DE 200 000 A MOINS DE 700 000 HABITANTS";31;"Aire de 200 000 à moins de 300 000 habitants";"AIRE DE 200 000 A MOINS DE 300 000 HABITANTS";58;2;"53";"29";"29-Fin";"BRE/29-Fin"
"053";"Lorient";"LORIENT";3;"Aire de 200 000 à moins de 700 000 habitants";"AIRE DE 200 000 A MOINS DE 700 000 HABITANTS";31;"Aire de 200 000 à moins de 300 000 habitants";"AIRE DE 200 000 A MOINS DE 300 000 HABITANTS";31;2;"53";"56";"56-Mor";"BRE/56-Mor"
"054";"Troyes";"TROYES";3;"Aire de 200 000 à moins de 700 000 habitants";"AIRE DE 200 000 A MOINS DE 700 000 HABITANTS";31;"Aire de 200 000 à moins de 300 000 habitants";"AIRE DE 200 000 A MOINS DE 300 000 HABITANTS";209;2;"44";"10";"10-Aub";"GES/10-Aub"
"055";"Saint-Nazaire";"SAINT NAZAIRE";3;"Aire de 200 000 à moins de 700 000 habitants";"AIRE DE 200 000 A MOINS DE 700 000 HABITANTS";31;"Aire de 200 000 à moins de 300 000 habitants";"AIRE DE 200 000 A MOINS DE 300 000 HABITANTS";24;2;"52";"44";"44-LoA";"PDL/44-LoA"
"056";"Saint-Brieuc";"SAINT BRIEUC";3;"Aire de 200 000 à moins de 700 000 habitants";"AIRE DE 200 000 A MOINS DE 700 000 HABITANTS";31;"Aire de 200 000 à moins de 300 000 habitants";"AIRE DE 200 000 A MOINS DE 300 000 HABITANTS";51;3;"53";"22";"22-CdA";"BRE/22-CdA"
"057";"Vannes";"VANNES";2;"Aire de 50 000 à moins de 200 000 habitants";"AIRE DE 50 000 A MOINS DE 200 000 HABITANTS";25;"Aire de 150 000 à moins de 200 000 habitants";"AIRE DE 150 000 A MOINS DE 200 000 HABITANTS";47;3;"53";"56";"56-Mor";"BRE/56-Mor"
"058";"Colmar";"COLMAR";2;"Aire de 50 000 à moins de 200 000 habitants";"AIRE DE 50 000 A MOINS DE 200 000 HABITANTS";25;"Aire de 150 000 à moins de 200 000 habitants";"AIRE DE 150 000 A MOINS DE 200 000 HABITANTS";95;2;"44";"68";"68-HRh";"GES/68-HRh"
"059";"Douai";"DOUAI";2;"Aire de 50 000 à moins de 200 000 habitants";"AIRE DE 50 000 A MOINS DE 200 000 HABITANTS";25;"Aire de 150 000 à moins de 200 000 habitants";"AIRE DE 150 000 A MOINS DE 200 000 HABITANTS";61;2;"32";"59";"59-Nor";"HDF/59-Nor"
"060";"Béziers";"BEZIERS";2;"Aire de 50 000 à moins de 200 000 habitants";"AIRE DE 50 000 A MOINS DE 200 000 HABITANTS";25;"Aire de 150 000 à moins de 200 000 habitants";"AIRE DE 150 000 A MOINS DE 200 000 HABITANTS";53;2;"76";"34";"34-Hér";"OCC/34-Hér"
"061";"Montbéliard";"MONTBELIARD";2;"Aire de 50 000 à moins de 200 000 habitants";"AIRE DE 50 000 A MOINS DE 200 000 HABITANTS";25;"Aire de 150 000 à moins de 200 000 habitants";"AIRE DE 150 000 A MOINS DE 200 000 HABITANTS";137;2;"27";"25";"25-Dou";"BFC/25-Dou"
"062";"Angoulême";"ANGOULEME";2;"Aire de 50 000 à moins de 200 000 habitants";"AIRE DE 50 000 A MOINS DE 200 000 HABITANTS";25;"Aire de 150 000 à moins de 200 000 habitants";"AIRE DE 150 000 A MOINS DE 200 000 HABITANTS";92;2;"75";"16";"16-Cha";"NAQ/16-Cha"
"063";"Niort";"NIORT";2;"Aire de 50 000 à moins de 200 000 habitants";"AIRE DE 50 000 A MOINS DE 200 000 HABITANTS";25;"Aire de 150 000 à moins de 200 000 habitants";"AIRE DE 150 000 A MOINS DE 200 000 HABITANTS";91;3;"75";"79";"79-DSè";"NAQ/79-DSè"
"064";"Bourges";"BOURGES";2;"Aire de 50 000 à moins de 200 000 habitants";"AIRE DE 50 000 A MOINS DE 200 000 HABITANTS";25;"Aire de 150 000 à moins de 200 000 habitants";"AIRE DE 150 000 A MOINS DE 200 000 HABITANTS";111;3;"24";"18";"18-Che";"CVL/18-Che"
"065";"Chartres";"CHARTRES";2;"Aire de 50 000 à moins de 200 000 habitants";"AIRE DE 50 000 A MOINS DE 200 000 HABITANTS";25;"Aire de 150 000 à moins de 200 000 habitants";"AIRE DE 150 000 A MOINS DE 200 000 HABITANTS";117;2;"24";"28";"28-EeL";"CVL/28-EeL"
"066";"La Roche-sur-Yon";"LA ROCHE SUR YON";2;"Aire de 50 000 à moins de 200 000 habitants";"AIRE DE 50 000 A MOINS DE 200 000 HABITANTS";25;"Aire de 150 000 à moins de 200 000 habitants";"AIRE DE 150 000 A MOINS DE 200 000 HABITANTS";45;3;"52";"85";"85-Ven";"PDL/85-Ven"
"067";"Cholet";"CHOLET";2;"Aire de 50 000 à moins de 200 000 habitants";"AIRE DE 50 000 A MOINS DE 200 000 HABITANTS";25;"Aire de 150 000 à moins de 200 000 habitants";"AIRE DE 150 000 A MOINS DE 200 000 HABITANTS";26;3;"52";"49";"49-MeL";"PDL/49-MeL"
"068";"Boulogne-sur-Mer";"BOULOGNE SUR MER";2;"Aire de 50 000 à moins de 200 000 habitants";"AIRE DE 50 000 A MOINS DE 200 000 HABITANTS";25;"Aire de 150 000 à moins de 200 000 habitants";"AIRE DE 150 000 A MOINS DE 200 000 HABITANTS";80;2;"32";"62";"62-PdC";"HDF/62-PdC"
"069";"Arras";"ARRAS";2;"Aire de 50 000 à moins de 200 000 habitants";"AIRE DE 50 000 A MOINS DE 200 000 HABITANTS";25;"Aire de 150 000 à moins de 200 000 habitants";"AIRE DE 150 000 A MOINS DE 200 000 HABITANTS";163;2;"32";"62";"62-PdC";"HDF/62-PdC"
"070";"Chalon-sur-Saône";"CHALON SUR SAONE";2;"Aire de 50 000 à moins de 200 000 habitants";"AIRE DE 50 000 A MOINS DE 200 000 HABITANTS";25;"Aire de 150 000 à moins de 200 000 habitants";"AIRE DE 150 000 A MOINS DE 200 000 HABITANTS";108;2;"27";"71";"71-SeL";"BFC/71-SeL"
"071";"Cherbourg-en-Cotentin";"CHERBOURG EN COTENTIN";2;"Aire de 50 000 à moins de 200 000 habitants";"AIRE DE 50 000 A MOINS DE 200 000 HABITANTS";25;"Aire de 150 000 à moins de 200 000 habitants";"AIRE DE 150 000 A MOINS DE 200 000 HABITANTS";77;2;"28";"50";"50-Man";"NOR/50-Man"
"072";"Narbonne";"NARBONNE";2;"Aire de 50 000 à moins de 200 000 habitants";"AIRE DE 50 000 A MOINS DE 200 000 HABITANTS";25;"Aire de 150 000 à moins de 200 000 habitants";"AIRE DE 150 000 A MOINS DE 200 000 HABITANTS";71;2;"76";"11";"11-Aud";"OCC/11-Aud"
"073";"Calais";"CALAIS";2;"Aire de 50 000 à moins de 200 000 habitants";"AIRE DE 50 000 A MOINS DE 200 000 HABITANTS";25;"Aire de 150 000 à moins de 200 000 habitants";"AIRE DE 150 000 A MOINS DE 200 000 HABITANTS";45;2;"32";"62";"62-PdC";"HDF/62-PdC"
"074";"Blois";"BLOIS";2;"Aire de 50 000 à moins de 200 000 habitants";"AIRE DE 50 000 A MOINS DE 200 000 HABITANTS";24;"Aire de 125 000 à moins de 150 000 habitants";"AIRE DE 125 000 A MOINS DE 150 000 HABITANTS";78;3;"24";"41";"41-LeC";"CVL/41-LeC"
"075";"Laval";"LAVAL";2;"Aire de 50 000 à moins de 200 000 habitants";"AIRE DE 50 000 A MOINS DE 200 000 HABITANTS";24;"Aire de 125 000 à moins de 150 000 habitants";"AIRE DE 125 000 A MOINS DE 150 000 HABITANTS";66;3;"52";"53";"53-May";"PDL/53-May"
"076";"Beauvais";"BEAUVAIS";2;"Aire de 50 000 à moins de 200 000 habitants";"AIRE DE 50 000 A MOINS DE 200 000 HABITANTS";24;"Aire de 125 000 à moins de 150 000 habitants";"AIRE DE 125 000 A MOINS DE 150 000 HABITANTS";162;3;"32";"60";"60-Ois";"HDF/60-Ois"
"077";"Maubeuge (partie française)";"MAUBEUGE (PARTIE FRANCAISE)";2;"Aire de 50 000 à moins de 200 000 habitants";"AIRE DE 50 000 A MOINS DE 200 000 HABITANTS";24;"Aire de 125 000 à moins de 150 000 habitants";"AIRE DE 125 000 A MOINS DE 150 000 HABITANTS";64;2;"32";"59";"59-Nor";"HDF/59-Nor"
"078";"Compiègne";"COMPIEGNE";2;"Aire de 50 000 à moins de 200 000 habitants";"AIRE DE 50 000 A MOINS DE 200 000 HABITANTS";24;"Aire de 125 000 à moins de 150 000 habitants";"AIRE DE 125 000 A MOINS DE 150 000 HABITANTS";101;2;"32";"60";"60-Ois";"HDF/60-Ois"
"079";"Roanne";"ROANNE";2;"Aire de 50 000 à moins de 200 000 habitants";"AIRE DE 50 000 A MOINS DE 200 000 HABITANTS";24;"Aire de 125 000 à moins de 150 000 habitants";"AIRE DE 125 000 A MOINS DE 150 000 HABITANTS";88;3;"84";"42";"42-Loi";"ARA/42-Loi"
"080";"Bourg-en-Bresse";"BOURG EN BRESSE";2;"Aire de 50 000 à moins de 200 000 habitants";"AIRE DE 50 000 A MOINS DE 200 000 HABITANTS";24;"Aire de 125 000 à moins de 150 000 habitants";"AIRE DE 125 000 A MOINS DE 150 000 HABITANTS";80;3;"84";"01";"01-Ain";"ARA/01-Ain"
"081";"Montauban";"MONTAUBAN";2;"Aire de 50 000 à moins de 200 000 habitants";"AIRE DE 50 000 A MOINS DE 200 000 HABITANTS";24;"Aire de 125 000 à moins de 150 000 habitants";"AIRE DE 125 000 A MOINS DE 150 000 HABITANTS";50;3;"76";"82";"82-TeG";"OCC/82-TeG"
"082";"Albi";"ALBI";2;"Aire de 50 000 à moins de 200 000 habitants";"AIRE DE 50 000 A MOINS DE 200 000 HABITANTS";24;"Aire de 125 000 à moins de 150 000 habitants";"AIRE DE 125 000 A MOINS DE 150 000 HABITANTS";91;2;"76";"81";"81-Tar";"OCC/81-Tar"
"083";"Évreux";"EVREUX";2;"Aire de 50 000 à moins de 200 000 habitants";"AIRE DE 50 000 A MOINS DE 200 000 HABITANTS";24;"Aire de 125 000 à moins de 150 000 habitants";"AIRE DE 125 000 A MOINS DE 150 000 HABITANTS";108;3;"28";"27";"27-Eur";"NOR/27-Eur"
"084";"Mâcon";"MACON";2;"Aire de 50 000 à moins de 200 000 habitants";"AIRE DE 50 000 A MOINS DE 200 000 HABITANTS";24;"Aire de 125 000 à moins de 150 000 habitants";"AIRE DE 125 000 A MOINS DE 150 000 HABITANTS";105;3;"27";"71";"71-SeL";"BFC/71-SeL"
"085";"Tarbes";"TARBES";2;"Aire de 50 000 à moins de 200 000 habitants";"AIRE DE 50 000 A MOINS DE 200 000 HABITANTS";24;"Aire de 125 000 à moins de 150 000 habitants";"AIRE DE 125 000 A MOINS DE 150 000 HABITANTS";153;2;"76";"65";"65-HPy";"OCC/65-HPy"
"086";"Belfort";"BELFORT";2;"Aire de 50 000 à moins de 200 000 habitants";"AIRE DE 50 000 A MOINS DE 200 000 HABITANTS";24;"Aire de 125 000 à moins de 150 000 habitants";"AIRE DE 125 000 A MOINS DE 150 000 HABITANTS";91;2;"27";"90";"90-TdB";"BFC/90-TdB"
"087";"Brive-la-Gaillarde";"BRIVE LA GAILLARDE";2;"Aire de 50 000 à moins de 200 000 habitants";"AIRE DE 50 000 A MOINS DE 200 000 HABITANTS";24;"Aire de 125 000 à moins de 150 000 habitants";"AIRE DE 125 000 A MOINS DE 150 000 HABITANTS";80;3;"75";"19";"19-Cor";"NAQ/19-Cor"
"088";"Saint-Malo";"SAINT MALO";2;"Aire de 50 000 à moins de 200 000 habitants";"AIRE DE 50 000 A MOINS DE 200 000 HABITANTS";24;"Aire de 125 000 à moins de 150 000 habitants";"AIRE DE 125 000 A MOINS DE 150 000 HABITANTS";35;3;"53";"35";"35-IeV";"BRE/35-IeV"
"089";"Alès";"ALES";2;"Aire de 50 000 à moins de 200 000 habitants";"AIRE DE 50 000 A MOINS DE 200 000 HABITANTS";24;"Aire de 125 000 à moins de 150 000 habitants";"AIRE DE 125 000 A MOINS DE 150 000 HABITANTS";64;2;"76";"30";"30-Gar";"OCC/30-Gar"
"090";"Charleville-Mézières";"CHARLEVILLE MEZIERES";2;"Aire de 50 000 à moins de 200 000 habitants";"AIRE DE 50 000 A MOINS DE 200 000 HABITANTS";24;"Aire de 125 000 à moins de 150 000 habitants";"AIRE DE 125 000 A MOINS DE 150 000 HABITANTS";132;2;"44";"08";"08-Ard";"GES/08-Ard"
"091";"Carcassonne";"CARCASSONNE";2;"Aire de 50 000 à moins de 200 000 habitants";"AIRE DE 50 000 A MOINS DE 200 000 HABITANTS";23;"Aire de 100 000 à moins de 125 000 habitants";"AIRE DE 100 000 A MOINS DE 125 000 HABITANTS";115;3;"76";"11";"11-Aud";"OCC/11-Aud"
"092";"Fréjus";"FREJUS";2;"Aire de 50 000 à moins de 200 000 habitants";"AIRE DE 50 000 A MOINS DE 200 000 HABITANTS";23;"Aire de 100 000 à moins de 125 000 habitants";"AIRE DE 100 000 A MOINS DE 125 000 HABITANTS";6;2;"93";"83";"83-Var";"PACA/83-Var"
"093";"Agen";"AGEN";2;"Aire de 50 000 à moins de 200 000 habitants";"AIRE DE 50 000 A MOINS DE 200 000 HABITANTS";23;"Aire de 100 000 à moins de 125 000 habitants";"AIRE DE 100 000 A MOINS DE 125 000 HABITANTS";81;2;"75";"47";"47-LeG";"NAQ/47-LeG"
"094";"Saint-Quentin";"SAINT QUENTIN";2;"Aire de 50 000 à moins de 200 000 habitants";"AIRE DE 50 000 A MOINS DE 200 000 HABITANTS";23;"Aire de 100 000 à moins de 125 000 habitants";"AIRE DE 100 000 A MOINS DE 125 000 HABITANTS";120;2;"32";"02";"02-Ais";"HDF/02-Ais"
"095";"Épinal";"EPINAL";2;"Aire de 50 000 à moins de 200 000 habitants";"AIRE DE 50 000 A MOINS DE 200 000 HABITANTS";23;"Aire de 100 000 à moins de 125 000 habitants";"AIRE DE 100 000 A MOINS DE 125 000 HABITANTS";118;3;"44";"88";"88-Vos";"GES/88-Vos"
"096";"Saint-Omer";"SAINT OMER";2;"Aire de 50 000 à moins de 200 000 habitants";"AIRE DE 50 000 A MOINS DE 200 000 HABITANTS";23;"Aire de 100 000 à moins de 125 000 habitants";"AIRE DE 100 000 A MOINS DE 125 000 HABITANTS";79;3;"32";"62";"62-PdC";"HDF/62-PdC"
"097";"Nevers";"NEVERS";2;"Aire de 50 000 à moins de 200 000 habitants";"AIRE DE 50 000 A MOINS DE 200 000 HABITANTS";23;"Aire de 100 000 à moins de 125 000 habitants";"AIRE DE 100 000 A MOINS DE 125 000 HABITANTS";93;3;"27";"58";"58-Niè";"BFC/58-Niè"
"098";"Ajaccio";"AJACCIO";2;"Aire de 50 000 à moins de 200 000 habitants";"AIRE DE 50 000 A MOINS DE 200 000 HABITANTS";23;"Aire de 100 000 à moins de 125 000 habitants";"AIRE DE 100 000 A MOINS DE 125 000 HABITANTS";79;1;"94";"2A";"2A-CdS";"COR/2A-CdS"
"100";"Châteauroux";"CHATEAUROUX";2;"Aire de 50 000 à moins de 200 000 habitants";"AIRE DE 50 000 A MOINS DE 200 000 HABITANTS";23;"Aire de 100 000 à moins de 125 000 habitants";"AIRE DE 100 000 A MOINS DE 125 000 HABITANTS";71;3;"24";"36";"36-Ind";"CVL/36-Ind"
"101";"Périgueux";"PERIGUEUX";2;"Aire de 50 000 à moins de 200 000 habitants";"AIRE DE 50 000 A MOINS DE 200 000 HABITANTS";23;"Aire de 100 000 à moins de 125 000 habitants";"AIRE DE 100 000 A MOINS DE 125 000 HABITANTS";49;3;"75";"24";"24-Dor";"NAQ/24-Dor"
"102";"Auxerre";"AUXERRE";2;"Aire de 50 000 à moins de 200 000 habitants";"AIRE DE 50 000 A MOINS DE 200 000 HABITANTS";23;"Aire de 100 000 à moins de 125 000 habitants";"AIRE DE 100 000 A MOINS DE 125 000 HABITANTS";104;3;"27";"89";"89-Yon";"BFC/89-Yon"
"103";"Rodez";"RODEZ";2;"Aire de 50 000 à moins de 200 000 habitants";"AIRE DE 50 000 A MOINS DE 200 000 HABITANTS";23;"Aire de 100 000 à moins de 125 000 habitants";"AIRE DE 100 000 A MOINS DE 125 000 HABITANTS";68;3;"76";"12";"12-Ave";"OCC/12-Ave"
"104";"Bastia";"BASTIA";2;"Aire de 50 000 à moins de 200 000 habitants";"AIRE DE 50 000 A MOINS DE 200 000 HABITANTS";23;"Aire de 100 000 à moins de 125 000 habitants";"AIRE DE 100 000 A MOINS DE 125 000 HABITANTS";93;2;"94";"2B";"2B-HCo";"COR/2B-HCo"
"105";"Castres";"CASTRES";2;"Aire de 50 000 à moins de 200 000 habitants";"AIRE DE 50 000 A MOINS DE 200 000 HABITANTS";23;"Aire de 100 000 à moins de 125 000 habitants";"AIRE DE 100 000 A MOINS DE 125 000 HABITANTS";55;3;"76";"81";"81-Tar";"OCC/81-Tar"
"106";"Mont-de-Marsan";"MONT DE MARSAN";2;"Aire de 50 000 à moins de 200 000 habitants";"AIRE DE 50 000 A MOINS DE 200 000 HABITANTS";23;"Aire de 100 000 à moins de 125 000 habitants";"AIRE DE 100 000 A MOINS DE 125 000 HABITANTS";101;3;"75";"40";"40-Lan";"NAQ/40-Lan"
"107";"Montélimar";"MONTELIMAR";2;"Aire de 50 000 à moins de 200 000 habitants";"AIRE DE 50 000 A MOINS DE 200 000 HABITANTS";22;"Aire de 75 000 à moins de 100 000 habitants";"AIRE DE 75 000 A MOINS DE 100 000 HABITANTS";45;2;"84";"26";"26-Drô";"ARA/26-Drô"
"108";"Cambrai";"CAMBRAI";2;"Aire de 50 000 à moins de 200 000 habitants";"AIRE DE 50 000 A MOINS DE 200 000 HABITANTS";22;"Aire de 75 000 à moins de 100 000 habitants";"AIRE DE 75 000 A MOINS DE 100 000 HABITANTS";64;2;"32";"59";"59-Nor";"HDF/59-Nor"
"109";"Montluçon";"MONTLUCON";2;"Aire de 50 000 à moins de 200 000 habitants";"AIRE DE 50 000 A MOINS DE 200 000 HABITANTS";22;"Aire de 75 000 à moins de 100 000 habitants";"AIRE DE 75 000 A MOINS DE 100 000 HABITANTS";58;2;"84";"03";"03-All";"ARA/03-All"
"110";"Vichy";"VICHY";2;"Aire de 50 000 à moins de 200 000 habitants";"AIRE DE 50 000 A MOINS DE 200 000 HABITANTS";22;"Aire de 75 000 à moins de 100 000 habitants";"AIRE DE 75 000 A MOINS DE 100 000 HABITANTS";50;2;"84";"03";"03-All";"ARA/03-All"
"111";"Dax";"DAX";2;"Aire de 50 000 à moins de 200 000 habitants";"AIRE DE 50 000 A MOINS DE 200 000 HABITANTS";22;"Aire de 75 000 à moins de 100 000 habitants";"AIRE DE 75 000 A MOINS DE 100 000 HABITANTS";60;3;"75";"40";"40-Lan";"NAQ/40-Lan"
"112";"Châlons-en-Champagne";"CHALONS EN CHAMPAGNE";2;"Aire de 50 000 à moins de 200 000 habitants";"AIRE DE 50 000 A MOINS DE 200 000 HABITANTS";22;"Aire de 75 000 à moins de 100 000 habitants";"AIRE DE 75 000 A MOINS DE 100 000 HABITANTS";96;2;"44";"51";"51-Mar";"GES/51-Mar"
"113";"Lannion";"LANNION";2;"Aire de 50 000 à moins de 200 000 habitants";"AIRE DE 50 000 A MOINS DE 200 000 HABITANTS";22;"Aire de 75 000 à moins de 100 000 habitants";"AIRE DE 75 000 A MOINS DE 100 000 HABITANTS";40;3;"53";"22";"22-CdA";"BRE/22-CdA"
"114";"Dieppe";"DIEPPE";2;"Aire de 50 000 à moins de 200 000 habitants";"AIRE DE 50 000 A MOINS DE 200 000 HABITANTS";22;"Aire de 75 000 à moins de 100 000 habitants";"AIRE DE 75 000 A MOINS DE 100 000 HABITANTS";62;3;"28";"76";"76-SMa";"NOR/76-SMa"
"115";"Le Puy-en-Velay";"LE PUY EN VELAY";2;"Aire de 50 000 à moins de 200 000 habitants";"AIRE DE 50 000 A MOINS DE 200 000 HABITANTS";22;"Aire de 75 000 à moins de 100 000 habitants";"AIRE DE 75 000 A MOINS DE 100 000 HABITANTS";59;3;"84";"43";"43-HLo";"ARA/43-HLo"
"116";"Alençon";"ALENCON";2;"Aire de 50 000 à moins de 200 000 habitants";"AIRE DE 50 000 A MOINS DE 200 000 HABITANTS";22;"Aire de 75 000 à moins de 100 000 habitants";"AIRE DE 75 000 A MOINS DE 100 000 HABITANTS";89;3;"28";"61";"61-Orn";"NOR/61-Orn"
"117";"Châtellerault";"CHATELLERAULT";2;"Aire de 50 000 à moins de 200 000 habitants";"AIRE DE 50 000 A MOINS DE 200 000 HABITANTS";22;"Aire de 75 000 à moins de 100 000 habitants";"AIRE DE 75 000 A MOINS DE 100 000 HABITANTS";44;3;"75";"86";"86-Vie";"NAQ/86-Vie"
"118";"Sens";"SENS";2;"Aire de 50 000 à moins de 200 000 habitants";"AIRE DE 50 000 A MOINS DE 200 000 HABITANTS";22;"Aire de 75 000 à moins de 100 000 habitants";"AIRE DE 75 000 A MOINS DE 100 000 HABITANTS";65;3;"27";"89";"89-Yon";"BFC/89-Yon"
"119";"Gap";"GAP";2;"Aire de 50 000 à moins de 200 000 habitants";"AIRE DE 50 000 A MOINS DE 200 000 HABITANTS";22;"Aire de 75 000 à moins de 100 000 habitants";"AIRE DE 75 000 A MOINS DE 100 000 HABITANTS";73;3;"93";"05";"05-HAl";"PACA/05-HAl"
"120";"Saintes";"SAINTES";2;"Aire de 50 000 à moins de 200 000 habitants";"AIRE DE 50 000 A MOINS DE 200 000 HABITANTS";22;"Aire de 75 000 à moins de 100 000 habitants";"AIRE DE 75 000 A MOINS DE 100 000 HABITANTS";62;3;"75";"17";"17-ChM";"NAQ/17-ChM"
